"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"1","Afghanistan","2015",7,"Asia","Southern Asia","","AFG",29461,5510,387.185277,1613.076352,256.679783,11.685427,NA,646.422457,2765.027316,445.614847,58.578968,NA
"2","Albania","2008",5,"Europe","Southern Europe","","ALB",7584,3489,51.423407,1388.029001,157.065319,0.646687,NA,87.45126,1515.218227,256.859786,10.966389,NA
"3","Angola","2015",7,"Africa","Sub-Saharan Africa","Middle Africa","AGO",14379,800,259.713668,665.318491,95.885465,0.427969,NA,9.535207,41.553514,9.184491,1.39266,NA
"4","Armenia","2015",7,"Asia","Western Asia","","ARM",6116,2274,231.305918,924.834918,94.895115,0.862063,NA,123.508764,695.23103,151.968266,1.421313,NA
"5","Armenia","2010",6,"Asia","Western Asia","","ARM",5922,1960,174.245662,812.131987,231.842992,2.313597,4.272386,66.322464,588.628103,103.802912,3.071438,3.373894
"6","Armenia","2005",5,"Asia","Western Asia","","ARM",6566,2144,112.908995,973.127522,229.101644,5.524777,7.018402,68.22251,560.112405,170.127557,5.33607,14.689811
"7","Azerbaijan","2006",5,"Asia","Western Asia","","AZE",8444,2639,444.977298,924.734543,115.048958,0,14.6273,253.729696,813.155323,112.582734,1.006657,14.090727
"8","Bangladesh","2014",7,"Asia","Southern Asia","","BGD",17863,10441,416.454511,2421.985132,252.06636,2.567423,NA,1098.678774,5597.295921,677.959892,4.019756,NA
"9","Bangladesh","2011",6,"Asia","Southern Asia","","BGD",17842,10279,262.496517,2277.998995,187.268942,0.842577,16.507587,886.59551,6010.452194,510.522611,7.169927,23.048618
"10","Benin","2011",6,"Africa","Sub-Saharan Africa","Western Africa","BEN",16599,1504,249.385672,311.102188,159.611682,4.563485,NA,318.347847,335.117703,124.879868,2.350743,NA
"11","Benin","2006",5,"Africa","Sub-Saharan Africa","Western Africa","BEN",17794,2186,274.069942,765.867388,100.000749,7.444106,41.889813,323.977416,533.166176,192.272157,8.122234,33.541232
"12","Benin","2001",4,"Africa","Sub-Saharan Africa","Western Africa","BEN",6219,827,119.648271,154.154099,44.639377,2.212033,NA,168.46446,226.30926,110.196725,4.104211,NA
"13","Bolivia (Plurinational State of)","2008",5,"Americas","Latin America and the Caribbean","South America","BOL",16939,6187,795.898788,2741.215654,475.356581,24.997461,54.243859,227.982834,1516.004944,306.741955,7.510021,10.942235
"14","Bolivia (Plurinational State of)","2003",4,"Americas","Latin America and the Caribbean","South America","BOL",17654,6226,1003.164699,2474.162377,852.156626,27.930223,NA,337.920303,925.978245,507.304381,17.00316,NA
"15","Burkina Faso","2010",6,"Africa","Sub-Saharan Africa","Western Africa","BFA",17087,2220,210.796248,698.630138,67.995547,2.254367,4.593605,306.520639,763.4778,113.922712,10.467054,15.455477
"16","Burkina Faso","2003",4,"Africa","Sub-Saharan Africa","Western Africa","BFA",12477,1387,124.192537,310.379313,58.524526,0,NA,314.465559,403.033387,85.361341,3.659244,NA
"17","Burundi","2010",6,"Africa","Sub-Saharan Africa","Eastern Africa","BDI",9389,1205,12.731821,141.328039,7.575517,NA,1.139466,77.581888,857.659113,78.039891,NA,9.283517
"18","Cambodia","2014",7,"Asia","South-eastern Asia","","KHM",17578,6494,171.7671,821.197501,90.877791,2.441175,NA,1295.990268,3667.068484,644.373523,4.677904,NA
"19","Cambodia","2010",6,"Asia","South-eastern Asia","","KHM",18754,5633,105.761717,903.714752,116.987421,5.788778,0.64215,653.056506,3546.698372,530.717143,2.637987,9.876465
"20","Cambodia","2005",5,"Asia","South-eastern Asia","","KHM",16823,3756,55.644333,506.461525,114.348256,NA,2.1219,287.111723,2288.534719,473.979209,NA,7.286751
"21","Cambodia","2000",4,"Asia","South-eastern Asia","","KHM",15351,1989,45.101911,362.373997,48.135693,1.460919,NA,280.056144,1251.016018,130.848386,3.846835,NA
